"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"848",0.860947278409332,-4.48751843890994,3.74680306567001,-0.290845637325376,-14.9018914232853,-5.13805846801052,4.43491560229778,NA,NA,-1.37435444503329,NA,3.08930918023706,7.3552869181989,11,-39.0097236691678,104.419447338336,4.18456182028294,0.0108959368610916
"3",0.536262295033841,-0.165613249483313,3.46350472527399,NA,-3.09127122090055,NA,NA,NA,NA,NA,NA,NA,NA,5,-46.7934913363063,104.496073581704,4.26118806365101,0.0104863753936607
"640",0.437044297001497,-4.61624356626714,3.42300537530467,3.31938286700173,-13.9061895387778,-5.43926741878853,2.2622934226533,11.9982098022779,2.84422055713584,-1.4760015407532,NA,NA,4.34736129169959,12,-37.6935087120951,104.67515301741,4.44026749935787,0.0095882377718662
"6",0.606043948443166,-0.0157060202789014,3.66793243718595,0.112151956192807,NA,-1.31046337482058,NA,NA,NA,NA,NA,NA,NA,6,-45.74277661746,104.777860927228,4.54297540917506,0.00910827335390726
"624",0.616727875140211,-4.38893152537579,3.53838382849594,-0.00353169185192363,-14.2506947486263,-5.36047424974318,3.58988101672452,NA,0.518421497821597,-1.26493659438952,NA,NA,6.37848689507289,11,-39.1928360955,104.785672191,4.55078667294751,0.00907276916933706
"13",0.668478767129912,-0.0195584622293407,3.68699836996992,NA,NA,-1.27863640762728,-0.0441083255000299,NA,NA,NA,NA,NA,NA,6,-45.7739185985874,104.840144889483,4.60525937143001,0.00882899488986891
"720",0.737652599284744,-3.97333067531127,3.63238706234394,-0.284176871042355,-13.5830860485693,-4.56574563683276,3.84678654060514,NA,NA,-1.24830777087078,1.35439759833875,NA,6.78909612197959,11,-39.235875803914,104.871751607828,4.63686608977551,0.0086905638313989
"560",34.7840839272525,-4.24550282038065,38.9945364032285,-0.280717967920338,-12.8947278238548,-4.46041717985059,2.64736873628825,NA,0.918990396816697,NA,NA,NA,3.84334909796831,10,-40.6829173023865,104.972391981822,4.73750646376971,0.00826407355937108
"544",1.16607530547879,-4.52932269020238,3.73746942092643,0.419218010437433,-15.4914444789293,-5.10301392700273,3.7208692655677,2.93511228414666,NA,NA,NA,NA,5.38159680711158,10,-40.8356962806547,105.277949938359,5.04306442030608,0.00709321472589368
"399",1.18514410808196,-0.0442422671116618,3.90372509819067,NA,-4.21343145041671,1.70530305392062,-0.0854420794993005,NA,NA,NA,13.1023486205354,-3.68870355878251,NA,9,-42.30041092089,105.504047648232,5.2691621301791,0.00633499991119781
"911",1.05759644887221,-5.44056098332207,3.70398876346497,NA,-18.0654204515446,-6.73470666074046,3.92075735717318,NA,NA,NA,-4.70248355939932,1.96821023836314,5.41903118680774,10,-40.9586619406445,105.523881258338,5.28899574028563,0.00627248742643313
"784",1.35290476840902,-4.36979438813987,3.75651097911509,-0.145222143289822,-14.9782879475186,-4.89528492597356,3.53932338141027,NA,NA,NA,NA,1.48263299712902,4.91653725553048,10,-40.9791421595054,105.56484169606,5.32995617800742,0.00614533204066923
"2",0.433022543359377,0.392270868193711,3.4878899681045,0.0629802550878296,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-47.3588106338463,105.626712176784,5.39182665873096,0.00595813513605283
