"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"46",1.29731522638524,1.45337369384715,3.00735702203571,-0.166998637769925,NA,0.510222696845016,0.264975361257617,NA,0.278378817162672,NA,NA,NA,NA,8,-142.517082245216,303.319878776145,3.71577348271512,0.0246982042351189
"526",1.24087308720805,1.50414186486868,3.01949767619343,-0.13362079808155,NA,0.575995405513922,0.395925603740182,NA,NA,NA,NA,NA,0.525436181349809,8,-142.527717482808,303.341149251331,3.73704395790077,0.0244369248120677
"9",1.3775743423158,1.48955281989232,3.13079924917929,NA,NA,NA,0.0747887658395518,NA,NA,NA,NA,NA,NA,5,-146.252547561785,303.414186032662,3.8100807392313,0.0235606255479288
"2",1.36569641739918,1.49581586890596,3.16012754886662,-0.0463462241420365,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-146.284045059676,303.477181028442,3.87307573501198,0.0228300902076536
"3",1.37079963240221,1.4974483996237,3.15062477599419,NA,0.0379937187549308,NA,NA,NA,NA,NA,NA,NA,NA,5,-146.284361889145,303.477814687381,3.87370939395117,0.0228228581080139
"527",1.21911293404831,1.51190478600172,3.01486187065882,NA,0.00903496508028886,0.565478356739766,0.301915597622362,NA,NA,NA,NA,NA,0.450454639827306,8,-142.801613413008,303.888941111731,4.28483581830051,0.0185821114913589
"8",1.24522177691135,1.44273661296747,3.07297200950694,0.034228118119173,0.0848108786404869,0.348375240810086,NA,NA,NA,NA,NA,NA,NA,7,-144.105871873192,303.961743746384,4.35763845295406,0.0179178612912866
"40",1.25787763660827,1.50080063876164,3.06509340881045,-0.0635480700965945,0.0818477021763098,0.468819857625348,NA,NA,0.249452020420869,NA,NA,NA,NA,8,-143.114118066817,304.513950419348,4.90984512591808,0.0135948999176953
"267",1.32618738623042,1.18264112060031,3.06175251949641,NA,-1.29530173582866,NA,0.242805631057204,NA,NA,NA,NA,0.6427077302514,NA,7,-144.502635558468,304.755271116936,5.15116582350527,0.012049634982441
"143",1.23562793531406,1.61264687122221,3.03871909987246,NA,0.205700821383798,0.81465759872643,0.160693828889353,NA,NA,NA,1.33439537594005,NA,NA,8,-143.333547285506,304.952808856726,5.3487035632956,0.0109163918349201
"78",1.31683488386651,1.47685026089561,3.04451401399589,-0.113554552500631,NA,0.400320873236415,0.303558601328909,NA,NA,-0.202725478056482,NA,NA,NA,8,-143.34617085276,304.978055991235,5.3739506978045,0.0107794541678053
"590",1.27158625389745,1.56029395038036,3.02260459927538,-0.184070976726468,NA,0.588140756700881,0.453397743788871,NA,NA,-0.16915624731441,NA,NA,0.498179201666259,9,-142.220736610858,305.344699028169,5.74059373473824,0.00897390042858384
"558",1.26871530500475,1.49904217030666,3.01118904319515,-0.17387710674987,NA,0.584447625391873,0.359040955651944,NA,0.167108814122183,NA,NA,NA,0.337700495967462,9,-142.221971703357,305.347169213166,5.74306391973562,0.00896282367329728
"271",1.26616804732965,1.29880750613606,3.02203757057649,NA,-0.527214030786865,0.289950821147232,0.22675860786276,NA,NA,NA,NA,0.273440614856468,NA,8,-143.537188666689,305.360091619092,5.75598632566135,0.00890509973428393
"10",1.4059233487983,1.46989713460701,3.14776767092064,-0.100326728698553,NA,NA,0.136593784408487,NA,NA,NA,NA,NA,NA,6,-146.091801384554,305.475910461416,5.8718051679856,0.00840405809151725
"136",1.22450837741342,1.64488888687736,3.08479674648929,0.0155012614025446,0.255953468118344,0.795610694414066,NA,NA,NA,NA,1.36825300473371,NA,NA,8,-143.637603976532,305.560922238779,5.95681694534835,0.00805432171712036
"783",1.20699153177242,1.36751603419406,3.0041343992857,NA,-0.801003319437977,0.465708708458611,0.376876246937209,NA,NA,NA,NA,0.394151080552821,0.508071139026152,9,-142.340388884847,305.584003576146,5.97989828271614,0.00796190376691856
"110",1.31918045856581,1.49776542958377,3.01400613849402,-0.203252467561634,NA,0.515114559894147,0.315161302391567,NA,0.253006068768066,-0.132900438835295,NA,NA,NA,9,-142.351544362351,305.606314531154,6.00220923772417,0.00787357849978835
"16",1.27701010765307,1.40127475043711,3.03278149485324,-0.0398759260000969,0.0264831661879684,0.371017608348182,0.207982818315653,NA,NA,NA,NA,NA,NA,8,-143.726155841153,305.738025968021,6.13392067459029,0.00737176337892029
"4",1.37707948305348,1.49236820483642,3.16502300636406,-0.048313924237997,0.0399253056868776,NA,NA,NA,NA,NA,NA,NA,NA,6,-146.234445736075,305.761199164457,6.15709387102686,0.00728684263977429
"11",1.38054488923494,1.48967880266674,3.13515710026911,NA,0.0193102320142127,NA,0.0614381421334606,NA,NA,NA,NA,NA,NA,6,-146.243443750619,305.779195193546,6.17508990011584,0.0072215696278713
"48",1.29723796068373,1.45385976516046,3.00881482160296,-0.164469799268869,0.00876193402051627,0.510461218911686,0.258565352386589,NA,0.277317323114591,NA,NA,NA,NA,9,-142.515384412605,305.933994631661,6.32988933823049,0.00668370590691753
"528",1.2405532354242,1.50486458187938,3.01676770830937,-0.13922293196404,-0.0183314797405069,0.579102512512769,0.411574206725897,NA,NA,NA,NA,NA,0.53479374325314,9,-142.520428403472,305.944082613396,6.33997731996578,0.00665007823549058
"24",1.2473689157993,1.44953775947534,3.07381638078686,-0.00515295046559117,0.0534576014201384,0.349271619012462,NA,-0.157668861707562,NA,NA,NA,NA,NA,8,-144.077918880403,306.441552046519,6.83744675308913,0.00518564329665913
"56",1.25997480076715,1.49437857082829,3.06142933588435,0.068506538263584,0.223147807582124,0.522392103795212,NA,0.715090921006863,0.36551263294748,NA,NA,NA,NA,9,-142.773368615959,306.449963038369,6.84585774493905,0.00516388088784202
"655",1.2174945713107,1.53505371425345,3.01716341034569,NA,0.0347362393657438,0.617092321604363,0.292975025439571,NA,NA,NA,0.189626360376145,NA,0.424479943298302,9,-142.796119499529,306.495464805509,6.89135951207845,0.0050477243768244
"168",1.2474900044497,1.58851943896115,3.07320643398953,-0.057454498373877,0.1631794049802,0.664507202606832,NA,NA,0.213267390246088,NA,0.647664124022787,NA,NA,9,-143.024689997386,306.952605801224,7.34850050779335,0.00401632387547057
"268",1.33702074239382,1.18067943917697,3.06648000130052,-0.0378228654488143,-1.2764251388848,NA,0.267311478620543,NA,NA,NA,NA,0.630012032694277,NA,8,-144.481323351252,307.248360988218,7.64425569478743,0.00346422669581392
"399",1.23621845957157,1.50836699605307,3.03393727507273,NA,-0.240912249018887,0.703482691385931,0.193119647400924,NA,NA,NA,1.19818612326115,0.209810240933819,NA,9,-143.206975188631,307.317176183714,7.71307089028403,0.00334705827828953
"144",1.24890073444973,1.60950857505144,3.04265935662383,-0.0555175115010696,0.202421678461124,0.822712989829687,0.196295662822351,NA,NA,NA,1.38341091788,NA,NA,9,-143.284915315134,307.473056436719,7.86895114328877,0.00309609520948569
"80",1.31900336352028,1.47958077320399,3.04214754421282,-0.122522502089021,-0.0216343486730705,0.40016857634494,0.323089141896572,NA,NA,-0.213604371870226,NA,NA,NA,9,-143.337824774925,307.578875356302,7.97477006287124,0.00293654067638847
"622",1.28844245663353,1.54446179228939,3.01502392643134,-0.208225508070805,NA,0.590049809967039,0.412722612593489,NA,0.134391629830371,-0.137042367201114,NA,NA,0.347882423750128,10,-142.03705244559,307.680662268229,8.07655697479896,0.00279082930030099
