"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"272",0.657389651941404,5.29337081119143,3.03554687447497,0.102861514504084,1.49798104376412,-0.0891027391010999,0.0266603775006207,NA,NA,NA,NA,-0.67755752403299,NA,9,-363.705794945896,748.314815698244,5.81309453305198,0.0159446913043391
"783",0.667254581284391,5.30305811278792,3.03580629597252,NA,1.33835156227073,-0.0264304525604604,0.149164306174233,NA,NA,NA,NA,-0.616775078193199,0.187330391495144,9,-363.788554698586,748.480335203624,5.97861403843183,0.0146782409183454
"400",0.651097124172189,5.56939489740198,3.02131844734179,0.0708013224345977,1.87980624678985,0.539965597179169,0.0214413090888222,NA,NA,NA,1.74645451658762,-0.758683347819031,NA,10,-362.589989642794,748.786536662637,6.28481549744458,0.0125945660876182
"92",0.679836796579578,5.15540215883522,2.96047622274812,-0.128060161856305,-0.157876645227534,NA,0.269309086368392,-1.50776371467471,NA,-0.12059321483681,NA,NA,NA,9,-363.998805348921,748.900836504294,6.39911533910208,0.0118949689953153
"911",0.663987363726631,5.58017446394664,3.02771991152333,NA,1.90150135719622,0.567687810085012,0.0365265392389801,NA,NA,NA,1.8734025935718,-0.763899940299759,-0.00960137259690196,10,-362.753136838867,749.112831054783,6.61110988959138,0.01069865745367
"464",0.648001213989999,5.54502158630207,3.00588377374839,0.0937895769911462,1.69895351998149,0.404997957603042,0.0702640045962414,NA,NA,-0.136421437972305,1.35342426136352,-0.703236220175104,NA,11,-361.515420423066,749.430840846132,6.92911968093983,0.00912587117643673
"28",0.974592633013551,5.00914104174035,3.1848608136364,-0.185743835420115,-0.137387883492997,NA,0.266517331993673,-2.04267190511267,NA,NA,NA,NA,NA,8,-365.709892754622,749.705499794958,7.20377862976613,0.00795486659655516
"448",0.654155506293063,5.39169990704573,2.97248451918804,-0.129826474845758,1.1167939586656,0.259307383653653,0.153130381195954,-1.13648106506362,0.0028860696643565,NA,0.911697593371467,-0.559552862069902,NA,12,-360.245831236844,749.779798066907,7.27807690171539,0.00766477192051247
"832",0.660234200308055,5.27863925642207,2.97406434291157,-0.165652516365517,0.768071248422798,0.0299192046022508,0.273118022284254,-1.29424693738929,-0.00241383496436365,NA,NA,-0.474563450716472,0.213584720155121,12,-360.32842901562,749.94499362446,7.44327245926809,0.00705711958271766
"5",0.683472814891618,5.10403815890557,3.05994922673597,NA,NA,-0.30016847293664,NA,NA,NA,NA,NA,NA,NA,5,-369.531636726877,749.972364362844,7.47064319765207,0.0069611981529696
"152",0.659974635121947,5.20666493852357,3.00271504286717,-0.0580215448133556,0.0483344354156053,0.00809757620850196,NA,-1.15032618503115,NA,NA,0.612505707293074,NA,NA,9,-364.581532274393,750.066290355238,7.56456919004575,0.00664183719856677
"56",0.666202534356801,5.14632601268149,3.00579953619429,-0.029103351669789,-0.0262552577046299,-0.142453518936191,NA,-1.07833103677486,0.0940060319725696,NA,NA,NA,NA,9,-364.582033705329,750.067293217109,7.56557205191734,0.00663850761077379
"13",0.690792296017908,5.07929054634938,3.03958008633815,NA,NA,-0.270951511760107,0.164575713759844,NA,NA,NA,NA,NA,NA,6,-368.485180885684,750.262669463676,7.76094829848432,0.00602067306283991
"368",0.644254675303422,5.35079698524896,3.00850139811679,0.130265367374627,1.32213176106144,-0.0297437204362447,0.0812083374696123,NA,0.0927464664938703,-0.136015080709875,NA,-0.6067473967409,NA,11,-361.993426201592,750.386852403184,7.88513123799237,0.00565820999997938
"304",0.719721240288437,5.29545584493998,3.10605356060481,0.126638185582743,1.14367031942291,0.0326071403505276,0.0794958571518273,NA,0.240257071305985,NA,NA,-0.487261793006552,NA,10,-363.505230142809,750.617017662668,8.11529649747592,0.00504312010016819
"848",0.666191278392135,5.35155013878978,3.05450136506981,0.125780836717771,1.20735072625271,-0.0220793363040285,0.15643573398714,NA,NA,-0.156748883340698,NA,-0.555882758391358,0.13939604500299,11,-362.159010171229,750.718020342458,8.21629917726568,0.00479475982352285
"135",0.681876014061625,5.24210620413204,3.05234225365434,NA,0.312251888465858,0.0985970589069779,NA,NA,NA,NA,1.0788078133754,NA,NA,7,-367.75450068572,751.25900137144,8.7572802062482,0.00365842637820499
"15",0.69191611102683,5.07183924679078,3.0455733117984,NA,0.142851526505721,-0.261725566726557,0.115365124987343,NA,NA,NA,NA,NA,NA,7,-367.767450144025,751.284900288049,8.7831791228574,0.00361135715656679
