"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"911",1.05331509815991,2.47069422340877,3.3375437435193,NA,-2.14251232261412,-0.465176591489545,-0.520503364116173,NA,NA,NA,0.116569156410142,0.94366662554106,-0.191547660842606,10,-200.852302067869,425.311161512787,6.28102277229806,0.00618390442830725
"332",1.01172803250042,2.70880061248194,3.3317571476291,-0.115805410991447,-1.39413203823366,NA,-0.293554502589243,NA,NA,-0.0200293085573747,NA,0.541254544857598,NA,9,-202.206429581032,425.316084968515,6.28594622802689,0.00616870006065131
"144",1.11754546383708,3.05796671843478,3.3221203390988,-0.300323852313334,-0.175753368430756,0.270430092034023,-0.249621301512851,NA,NA,NA,1.33349949985108,NA,NA,9,-202.297370363978,425.497966534408,6.46782779391981,0.00563246593676158
"48",1.12577234072006,2.89884671504112,3.32496242234283,-0.362441827494474,-0.370365793543031,-0.161184084619962,-0.211676852600811,NA,0.120975133340607,NA,NA,NA,NA,9,-202.330788369128,425.564802544708,6.53466380421924,0.00544735048286498
"558",1.06247487879188,2.77588519787581,3.39209989343949,-0.355499859489569,NA,-0.542185589484261,-0.64219726209156,NA,0.096917930519281,NA,NA,NA,-0.723761910740352,9,-202.648599259772,426.200424325996,7.1702855855076,0.00396425700801213
"110",1.02312985767737,2.91553823663673,3.39119624498844,-0.336058323457556,NA,-0.152894545776764,-0.484386130262489,NA,0.160772463461971,0.189202908017699,NA,NA,NA,9,-202.921086004893,426.745397816238,7.71525907574949,0.00301871639047832
"64",0.927716813905195,2.94309132348313,3.39779789350961,-0.0207360048268311,-0.0590735633806662,-0.148057023996203,-0.399229660688351,1.32342546885417,0.199423211782848,NA,NA,NA,NA,10,-201.746414094255,427.099385565559,8.06924682507093,0.00252903505830129
"816",1.16341709530639,2.43316269083821,3.33014862638594,-0.187061550947189,-2.02537351913125,-0.495488460492967,-0.420375134618611,NA,0.0850194692545109,NA,NA,0.863801081252648,-0.240132991620003,11,-200.628635696397,427.657271392795,8.62713265230605,0.00191342516563777
"800",1.03559230793784,2.46277448819483,3.3651609746643,-0.101139123662268,-1.84169833854244,-0.540178215798371,-0.504458314390804,0.313057792170054,NA,NA,NA,0.815173397249368,-0.247021394681486,11,-200.651085036988,427.702170073976,8.67203133348721,0.00187094860172967
"432",1.14641077565182,2.39813428635536,3.32398831438467,-0.17650969402646,-2.27907200998156,-0.566273037029347,-0.306689517555745,NA,0.099658149643034,NA,-0.519969292179167,0.941590180019127,NA,11,-200.671298307654,427.742596615309,8.71245787482019,0.00183351026158405
"912",1.0998693333708,2.44458794150126,3.3442321394132,-0.168253246633982,-1.99389313323295,-0.512587713715807,-0.461724026441156,NA,NA,NA,0.0875740842911597,0.860798153115523,-0.246838296237082,11,-200.683146332129,427.766292664258,8.73615392376979,0.0018119149705191
"352",1.03594964856839,2.51741373369412,3.35272104744904,-0.0787123874430021,-1.97474988912198,-0.417174264474592,-0.379826077272352,0.307829165213419,NA,-0.0205322055696273,NA,0.864643571407387,NA,11,-200.715016234602,427.830032469205,8.79989372871609,0.00175507989181689
"592",1.02465931891198,2.76319424651839,3.3775455896894,-0.353336263646642,-0.294627086435762,-0.514351600255145,-0.509296753883174,NA,NA,0.00359833769185801,NA,NA,-0.54010997516716,10,-202.114818427825,427.836194232699,8.80605549221053,0.00174968101912787
"416",1.03652880072498,2.52613111290731,3.36783270138914,-0.0758776369544808,-1.91055573887821,-0.396649538036021,-0.399689833620505,0.339651728991165,NA,NA,0.0559764055709616,0.843125792019781,NA,11,-200.719668937471,427.839337874941,8.80919913445285,0.0017469329938146
"348",0.934874348559029,2.75459119945119,3.35421755082426,-0.0146057072074649,-1.14309200848095,NA,-0.344232007526917,0.484367993505488,NA,-0.0387232010661186,NA,0.468825565001271,NA,10,-202.128968232807,427.864493842664,8.83435510217544,0.00172509770861548
"464",1.08508277877293,2.4431846262554,3.33555617671297,-0.148953954518218,-2.21488393901496,-0.516428800647504,-0.341606574411398,NA,NA,-0.0156173428788273,-0.249335078001131,0.933122765520064,NA,11,-200.740786571664,427.881573143328,8.85143440283952,0.00171042870064016
"184",1.28942882991279,3.0533661125842,3.29734336492552,-0.259692596296925,-0.0166876500125193,0.487383257702452,NA,0.944621093233054,0.243279735556445,NA,1.64436972647146,NA,NA,10,-202.161033130839,427.928623638726,8.89848489823783,0.0016706600594569
"848",0.962994806712706,2.47603109835472,3.19550016111388,-0.200921950815491,-1.99669903135074,-0.557275349015717,-0.410906892251157,NA,NA,-0.0236486027379814,NA,0.8496855491568,-0.224643477185887,11,-200.777323735568,427.954647471135,8.92450873064649,0.00164906238902049
"160",0.972076932124858,3.10654986004167,3.38373633324971,0.379511129588249,0.668327975962911,0.751551491627444,-0.625126863725932,2.58354117798997,NA,NA,2.81870718959592,NA,NA,10,-202.352836167649,428.312229712347,9.28209097185874,0.00137907882299954
