"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"15",129.793921256707,0.782478974647674,195.459607058019,NA,0.188963634177703,-0.308475482577654,-0.333484147459081,NA,NA,NA,NA,NA,NA,7,-87.0652717697215,189.880543539443,3.89483879518372,0.018022368687805
"46",127.750252467124,0.857545167490001,191.909868272283,0.045764707964997,NA,-0.0960928756561511,-0.136794446055936,NA,0.542419876482502,NA,NA,NA,NA,8,-85.7977760128091,189.881266311332,3.89556156707314,0.0180158568337879
"78",113.248328414944,0.960362286153583,170.34106226857,0.0696329905572057,NA,-0.342932728644752,-0.0849143059426332,NA,NA,-0.622915423392389,NA,NA,NA,8,-85.8135277836848,189.912769853084,3.92706510882456,0.0177342985274006
"40",111.961427507858,0.816115088757746,167.638475278415,-0.0513859879580682,0.0917260877482948,-0.0444258959168963,NA,NA,0.598897608161234,NA,NA,NA,NA,8,-85.8441689527683,189.974052191251,3.98834744699155,0.0171991397038711
"14",141.07079506377,0.804939291262042,212.383338093505,0.229304395033902,NA,-0.322153313969901,-0.239527541463453,NA,NA,NA,NA,NA,NA,7,-87.176776605622,190.103553211244,4.11784846698467,0.0161207756852821
"110",190.989010629632,0.96777888144099,286.310092719256,-0.000525296906576744,NA,-0.165192222932291,-0.00675247854508637,NA,0.389667109293392,-0.514630119098078,NA,NA,NA,9,-84.697449707938,190.298125222328,4.31242047806828,0.0146263229890063
"12",111.614642367403,0.800052620499158,168.098340868591,0.301777023511205,0.25741986824223,NA,-0.400856046143002,NA,NA,NA,NA,NA,NA,7,-87.3891096128682,190.528219225736,4.54251448147713,0.013036796356197
"267",102.758039124187,0.9355919525923,155.035349811863,NA,1.12919340677487,NA,-0.332370516011123,NA,NA,NA,NA,-0.459078739720919,NA,7,-87.4065845975351,190.56316919507,4.57746445081082,0.0128109575516901
"8",130.466834622586,0.774464840885129,196.151803686188,0.159490438344601,0.0973957959688157,-0.265406002197579,NA,NA,NA,NA,NA,NA,NA,7,-87.4119763084041,190.573952616808,4.58824787254898,0.0127420704491671
"76",125.228298171562,0.906837334388868,188.001123211208,0.16916550331704,0.179954167524901,NA,-0.177874704487613,NA,NA,-0.547828891573444,NA,NA,NA,8,-86.3267352321556,190.939184750026,4.95348000576627,0.0106152652807537
"590",253.472535844545,1.02291923169594,380.096610368336,0.108136348812014,NA,-0.144172860146146,0.079793400913207,NA,NA,-0.591884169811046,NA,NA,0.418816263434557,9,-85.1290018053465,191.161229417145,5.17552467288539,0.00949980006318777
"268",218.677860013517,0.944310602352778,328.86884061956,0.361757972826333,1.23152815086349,NA,-0.451086849293417,NA,NA,NA,NA,-0.489926729682967,NA,8,-86.5312005217509,191.348115329216,5.36241058495673,0.00865232262419891
"16",139.174884281838,0.782302576904413,209.65202454728,0.310208190102763,0.233294715542767,-0.317614823951223,-0.45608245360581,NA,NA,NA,NA,NA,NA,8,-86.564753639858,191.41522156543,5.42951682117106,0.0083668266454919
"28",106.696073266789,0.776264731017874,160.233361852933,-0.16846336340736,-0.22330249809497,NA,-0.0209143196962852,-1.90763554055437,NA,NA,NA,NA,NA,8,-86.5938892979754,191.473492881665,5.48778813740577,0.00812657064871345
"80",210.886404420721,0.927452710759955,316.555888286773,0.175228472322779,0.13204539886884,-0.321143693319482,-0.201470239982719,NA,NA,-0.542080505656243,NA,NA,NA,9,-85.2856068290477,191.474439464547,5.48873472028779,0.00812272532243243
"332",255.370175691426,1.10436180378502,383.238659963466,0.222128372959559,1.23043772573695,NA,-0.208541836013468,NA,NA,-0.58351391609831,NA,-0.538160258014683,NA,9,-85.3732381598502,191.649702126152,5.6639973818927,0.00744121690448672
"527",160.628265687936,0.866269189517186,241.601874950781,NA,0.1499290677689,-0.109790018562768,-0.124236685855223,NA,NA,NA,NA,NA,0.445768773403619,8,-86.6887158809033,191.663146047521,5.6774413032615,0.00739136507573884
"56",151.755545955558,0.803446852275528,227.672747583905,-0.150697189434591,-0.118875905814584,-0.133017189385,NA,-1.1211558625979,0.360347471917489,NA,NA,NA,NA,9,-85.3820482105786,191.667322227609,5.68161748334944,0.00737594734232261
"526",140.725803687297,0.912232462931657,211.860092409075,0.225870752520893,NA,-0.0476248071967057,-0.0244346221750053,NA,NA,NA,NA,NA,0.588718635133339,8,-86.7188161685478,191.72334662281,5.73764187855062,0.00717219790567413
