"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"14",5.33617470789254,1.96225623391196,6.69689662419815,0.222915747423114,NA,0.0113062127085641,-0.286419904960902,NA,NA,NA,NA,NA,NA,7,-188.857486287442,393.464972574884,3.28892695698687,0.0243823126300439
"348",5.1349575652652,1.72608442749293,6.88160032784838,0.725615224833283,-0.593215881105436,NA,-0.562302278808078,1.41710378454785,NA,-0.07722869042297,NA,0.51859710686665,NA,10,-185.094115461378,393.794788299805,3.61874268190735,0.020675514273378
"271",5.46746848455612,1.69884072943037,6.98822976731792,NA,-1.31549376818082,-0.289494311242873,-0.249851470714091,NA,NA,NA,NA,0.690311086323023,NA,8,-187.830581378195,393.946877042105,3.77083142420696,0.019161551468583
"332",5.22419700295232,1.71556939820719,6.78400310497997,0.393421166468379,-1.06621105213913,NA,-0.437041971115984,NA,NA,0.039206794541087,NA,0.603174544965638,NA,9,-186.781229611973,394.465685030397,4.2896394124993,0.0147833529860547
"76",5.2980718536657,1.90329595151351,6.78910505379541,0.294326759164148,0.156472703735094,NA,-0.507028154697987,NA,NA,0.147200124297374,NA,NA,NA,8,-188.217155731904,394.720025749523,4.54398013162557,0.0130179788426025
"525",5.53172261023878,1.97383885308251,6.86174799941291,NA,NA,-0.0420698413308482,-0.185756041045202,NA,NA,NA,NA,NA,0.0566766134882202,7,-189.529982875708,394.809965751417,4.63392013351893,0.0124455283405528
"800",5.09623484968813,1.63841783581532,6.93482072664842,0.698180767848036,-1.1412802075314,-0.147620382565358,-0.521932698320803,1.49083988353437,NA,NA,NA,0.791172027400678,0.234117234172982,11,-184.263483077571,394.926966155141,4.75092053724381,0.0117383491515547
"352",5.08614092537891,1.63143286793848,6.91817077758261,0.707069209463789,-1.09827281775699,-0.236629431557179,-0.566735067039463,1.46762338338131,NA,-0.0701322163365196,NA,0.768071304968841,NA,11,-184.409924723179,395.219849446358,5.04380382846063,0.0101393058730901
"46",5.27576663053772,1.91413964615287,6.74580754649182,0.248008187733651,NA,-0.0741648633668188,-0.300290692812685,NA,-0.15222893889927,NA,NA,NA,NA,8,-188.473981496954,395.233677279623,5.05763166172551,0.0100694453408114
"20",5.50356857756136,1.92056855996284,6.72398780702138,0.238539263663414,0.115597136956123,NA,NA,0.602157157579493,NA,NA,NA,NA,NA,7,-189.752493538799,395.254987077599,5.07894145970113,0.00996272596952675
"160",5.1425850226151,2.09606102015451,6.96331561446256,0.737288650364854,0.741022643461417,0.425573539072189,-0.700085287294767,1.8383037373773,NA,NA,1.38220041057423,NA,NA,10,-185.854215704742,395.314988786532,5.13894316863468,0.00966827465787195
"38",5.43427655155268,1.90313472734628,6.6586181495797,0.134954132042377,NA,-0.0461741197707622,NA,NA,-0.131238547319446,NA,NA,NA,NA,7,-189.784583397047,395.319166794095,5.1431211761971,0.00964809867674156
"416",5.08493520423769,1.68561865081242,6.94076111496052,0.711717878963077,-0.911674121787212,-0.0928180558190919,-0.628199470109479,1.46214194437593,NA,NA,0.414770662599854,0.712612602860166,NA,11,-184.462161705872,395.324323411743,5.14827779384581,0.00962325493996072
"320",5.10023425915096,1.61880023112392,6.93633831631263,0.714034328195781,-1.04341844157809,-0.2251308984535,-0.616484435103368,1.46918170878212,0.0324121146458053,NA,NA,0.750509633218463,NA,11,-184.481618640809,395.363237281618,5.1871916637208,0.00943782568699051
